Range,Count,Min Score,Max Score,Mean Score,Median Score
Top 5k (EXCELLENT),5000,0.2156237810850143,0.2628439664840698,0.22092834985852242,0.21955174952745435
5k-10k (VERY GOOD),5000,0.2111264765262603,0.2156236171722412,0.21318383415043354,0.2130985483527183
10k-20k (GOOD),10000,0.2055730521678924,0.2111238092184066,0.20814303999096156,0.20803327113389963
20k-30k (DECENT),10000,0.2013181298971176,0.2055722773075103,0.20340467802584172,0.2033842802047729
30k-40k (FAIR),10000,0.1972082406282425,0.2013166099786758,0.19928056982457637,0.19929285347461695
40k-50k (ACCEPTABLE),10000,0.1928489804267883,0.1972081065177917,0.1950859222367406,0.19512352347373954
50k-60k (POOR),10000,0.1872096955776214,0.1928488761186599,0.19019171676039695,0.1902735978364944
60k-70k (VERY POOR),10000,0.1567339599132537,0.1872085183858871,0.18181031954586505,0.18300405144691465
